Paper id,DOI,Title,PubYear,first_author_name,first_author_scholar_id,first_author_hindex,first_author_total_citations,first_author_consecutive_years,first_author_seniority,last_author_name,last_author_scholar_id,last_author_hindex,last_author_total_citations,last_author_consecutive_years,last_author_seniority
4,10.3390/s23031255,An Efficient Machine Learning-Based Emotional Valence Recognition Approach Towards Wearable EEG,2023,Lamiaa Abdel-Hamid,koRj9FkAAAAJ,,,0,early,,p6iWwZEAAAAJ,6.0,573.0,4.0,mid
5,10.1038/s41598-023-35795-0,Machine learning explainability in nasopharyngeal cancer survival using LIME and SHAP,2023,Rasheed Omobolaji Alabi,g5ojVjsAAAAJ,16.0,1447.0,5,mid,Antti A. Mäkitie,,,,,
6,10.1016/j.ymeth.2023.08.008,Machine learning algorithms for prediction of entrapment efficiency in nanomaterials,2023,Omar M Fahmy,mDBAZUIAAAAJ,,,0,early,Mahmoud Elsabahy,Ceu2gy0AAAAJ,42.0,8422.0,7.0,mid
7,10.1186/s12874-023-01837-4,Machine learning for predicting neurodegenerative diseases in the general older population: a cohort study,2023,Gloria A. Aguayo,Et4FcxsAAAAJ,20.0,2384.0,4,mid,Guy Fagherazzi,EKz0WDUAAAAJ,90.0,28156.0,1.0,early
8,10.1038/s41598-023-31542-7,"Explanatory predictive model for COVID-19 severity risk employing machine learning, shapley addition, and LIME",2023,Mariam Laatifi,D5AahlIAAAAJ,3.0,126.0,2,early,Mariam Naciri,Xgw8jpwAAAAJ,12.0,616.0,0.0,early
11,10.1155/2023/9738123,Monitoring Cardiovascular Problems in Heart Patients Using Machine Learning,2023,Ahmed Al Ahdal,S1RNmqMAAAAJ,7.0,254.0,2,early,Rituraj Jain,ElX2gNMAAAAJ,13.0,799.0,1.0,early
